,사이트,검색 키워드,기업이름,포지션이름,포지션이름 전처리,마감일,상시 채용 여부,경력_min,경력_max,학력,학력 세부정보,제출서류,채용절차,채용형태_전처리,근무시간,근무장소 시,근무장소 구,근무형태,Hard Skill,Soft Skill,Tool,hard plus,soft plus,tool plus,산업군 전처리,설립,사원 수,기업 평균 연봉,기업 유형 전처리,기업 유형 전처리 _세부,매출액,,접수방법,총점,복지 및 급여,업무와 삶의 균형,사내문화,승진 기회,경영진,기업추천율,CEO 지지율,성장 가능성,하이라이트+태그,퇴사,입사,링크
194,사람인,데이터 분석가,카비,Senior Data Scientist,데이터 사이언티스트,999,1,3,10,석사,,"이력서, 포트폴리오",서류전형 → 인터뷰 → 처우 및 합류 일정 협의 → 최종 합격,정규직,999,서울,금천,999,"데이터 분석, 데이터 사이언스, 통계, 프로그래밍 언어","논리적 사고, 분석적 사고, 문제 정의, 가설 수립, 인사이트 도출, 수학/ 통계학/ 데이터사이언스 관련 학사, 경력 3년","R, Python","클라우드 환경, 데이터베이스 구축, 데이터 파이프라인 구축, 시계열 데이터 , 예측, 분류, 알고리즘, 모델 개발 머신러닝, 딥러닝, 모델링, 데이터 분석",연구 경험,999,응용 소프트웨어 개발,2010,20,999,스타트업,999,999,,"사람인 지원, 점핏에서 지원",2.7,2.4,2.8,2.3,2.9,2.4,51,56,51,"퇴사율5%이하
50명이하
설립10년이상
석식제공
음료
인공지능
IT, 컨텐츠
",15,4,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=45736283&recommend_ids=eJxFjssVAzEIA6vJXVh8xDmFbP9dxHbe2sdBMMKrMSLykeFTXwfbTXjmdGF19pgos41JeeNdLkUMxsTcyMLAUVUBkL%2BqKV7xMSsn9jG3yMqjKrp53N40sE6qDIH3Dae3Xox5yrpf5TDt279KYidvrwGDZ7kpoS9al9ky%2FwBdwUBT&view_type=search&searchword=%EC%B9%B4%EB%B9%84&searchType=search&gz=1&t_ref_content=generic&t_ref=search&relayNonce=ab13d932ab5297cb6b30&paid_fl=n&search_uuid=44323f85-adbb-41ed-8dc3-a7e3f604fb57&immediately_apply_layer_open=n#seq=0
195,사람인,데이터 분석가,비버웍스,Data Scientist ,데이터 사이언티스트,상시채용,1,0,5,학력 무관,,"이력서, 포트폴리오",서류전형 > 인터뷰전형 > 처우협의 > 최종합격,정규직,999,서울,강남,999,"데이터 분석, 모델링",경력 3년,"Python, SQL, OpenCV, Pytorch, Tensorflow","데이터 베이스 관리, AI, 통계",관련 전공,SQL,이커머스,2017,85,999,중소기업,999,999,,"사람인 지원, 점핏에서 지원",2.1,1.9,1.8,2.1,1.9,2,41,53,41,"연봉업계평균이상
인원급성장
51~300명
설립4~9년
유연근무
커피
사내카페
건강검진
IT, 컨텐츠",4,7,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47638490&recommend_ids=eJxNj8ENBDEIA6u5P2Bs4H2FbP9dXLSnTfYRRaORMWSNJtqudv%2FUN6uqy3mNxY1S5GhZ%2B1ukJxfqRpSFaWclN9SDTDeG9qj1k3qyKmBeVuF9sjIkmbu3tZpm947W47Fk4GxVVNKObYywlxw3C5xR6LZ52Sn3gw3UfeAPcgFAbA%3D%3D&view_type=search&searchword=%EB%B9%84%EB%B2%84%EC%9B%8D%EC%8A%A4&searchType=search&gz=1&t_ref_content=generic&t_ref=search&relayNonce=e0b73297c70ba12defeb&paid_fl=n&search_uuid=d79d25e4-b3f6-4a3b-a846-79bd085ba546&immediately_apply_layer_open=n#seq=0
196,사람인,데이터 분석가,안티그래비티,[부피 알고리즘] 데이터 사이언티스트,데이터 사이언티스트,999,1,3,20,석사,,이력서,서류 심사 → 1차인터뷰 → 기술과제 → 2차 인터뷰 → 최종합격,정규직,유연근무제,서울,성동,999,"머신러닝, 딥러닝, 비즈니스 분석, 플랫폼 비즈니스, 이커머스 데이터, 프로그래밍 언어, 모델링, 알고리즘, 데이터 파이프라인 구축, regression, decision tree, neural network, recommendation, clustering"," 비즈니스, 이커머스 플랫폼, 경력 1년","Scala, Java, Python, SQL, Spark, Hadoop, BigQuery, Airflow","머신러닝, 모델링, 데이터 분석, 데이터 파이프라인 구축","관련 전공, 석사, 논문 보유",999,이커머스,2018,21,999,중소기업,999,"18억 6,547만원",,"사람인 지원, 점핏에서 지원",2.8,3.7,3.3,2.5,2.2,2.4,36,64,27,"지금 채용중
응답률 평균 이상
유연근무
성과급
스톡옵션
워크샵
식비
생일선물
컨퍼런스참가비
자기계발
스터디지원
IT, 컨텐츠",14,17,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=42913843&recommend_ids=eJxNjrkRAzEMA6txDn4AGbuQ678Lywqkizg7eIhUCA4%2Bbfjom5JaVs%2FAN5KG0FK5cTjeWGgbu8qjDg7DxVfWc3iy7YTlUdet4q3i2jHHrEjLullZxx3ZrEZczMjpYyYLuH9VzMKt6lg772YD%2FIXRjXmpI7P%2Fox%2BBEkB%2B&view_type=search&searchword=%EC%95%88%ED%8B%B0%EA%B7%B8%EB%9E%98%EB%B9%84%ED%8B%B0&searchType=search&gz=1&t_ref_content=generic&t_ref=search&relayNonce=5e9927b66feb22dfb5fd&paid_fl=n&search_uuid=3e5922d8-e27c-446d-b077-af27ae55bf7c&immediately_apply_layer_open=n#seq=0
197,사람인,데이터 분석가,이지헬스케어,헬스케어 데이터 분석 Position,데이터 분석가,2024.04.27,0,3,999,대졸(4년),,이력서,서류전형 - 1차면접 -2차면접 - 최종합격,정규직,주 5일제(월~금) 09시~18시,서울,강서,999,"데이터 분석, SQL 중급 능력,","논리적 사고, 통계학/ 수학 /산업공학 학사, 커뮤니케이션, 협업 능력, 경력 3년","SQL, SAS, R, Python","제약, 머신러닝",제약 산업 이해,999,의료,2017,90,999,중소기업,999,"324억 7,760만원",,사람인 지원,999,999,999,999,999,999,999,999,999,999,999,999,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47665006&recommend_ids=eJxNjrkRAzEMA6txDoofELsQ99%2BFdecxdeEOliCivbFQH1q9%2Bh1whREfYV3YVQbvneKHzhA22o3bypzbLa%2FQ4G66qqeKtVEjt4dFDqoUyZHb1eT8ZSXhIzM8xIN0lZ9VpcXHSAPWI3USZ4ZMbfbHgkdmnL8q9l31BX4aQJA%3D&view_type=search&searchword=%ED%97%AC%EC%8A%A4%EC%BC%80%EC%96%B4+%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&gz=1&t_ref_content=generic&t_ref=search&relayNonce=7ea8365764122826dc6b&paid_fl=n&search_uuid=85da3f3a-3854-484d-b516-f716b88805df&immediately_apply_layer_open=n#seq=0
198,사람인,데이터 분석가,부동산일일사,[부동산R114/HDC계열사] 데이터분석 및 모델링 담당자,"데이터 분석가, 모델 개발",2024.04.30,0,0,999,대졸(4년),,이력서,서류전형> 실무 인터뷰> 최종 인터뷰 > 최종합격,정규직,999,서울,서초,999,"데이터 분석, 모델링, 부동산 데이터, 정량적 데이터, 수치 데이터 분석, 회귀 분석, 시계열 분석, 분류 모델, 머신러닝","논리적 사고, 분석적 사고, 정량적 사고, 커뮤니케이션","Python, pandas, scikit-learn, keras, torch,  R, SOL, Linux, Microsoft Office, Excel","데이터 전처리, 통계, 데이터 분석","공모전 입상, 관련 전공, 관련 자격증",999,부동산,1999,74,999,대기업,999,"135억 7,892만원",,사람인 지원,2.9,2.4,4,3,2.7,2.4,41,53,14,"응답률 매우 높음
연봉업계평균이상
인원급성장
51~300명
설립10년이상
유연근무
복지포인트
교육비
Macbook
IT, 컨텐츠",47,27,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47970971&recommend_ids=eJxNkLkRw0AMA6txDvAFYxei%2FrvwyWPfKdzZAfhEj804LxGvfocl4MI1sBt75N71t90ejFzIL6pS8G2nxlb2ZwV0dpwqWGbtbPmK81iyE7uqjPLeqEzzM3cyDHHWkE891lgnxbFDwPzg6tWjyiXM4wSBD%2BQ07%2BfwA2UHQFw%3D&view_type=search&searchword=%EB%B6%80%EB%8F%99%EC%82%B0%EC%9D%BC%EC%9D%BC%EC%82%AC&searchType=search&gz=1&t_ref_content=generic&t_ref=search&relayNonce=64c37f8af1bf82dce2fe&paid_fl=n&search_uuid=4fa9a03b-cd9e-422c-bf33-3d6caab173f1&immediately_apply_layer_open=n#seq=0
199,사람인,데이터 분석가,하이,데이터 사이언티스트 [ML팀],데이터 사이언티스트,2024.04.24,0,2,10,학력 무관,,이력서,서류전형 - 1차면접 - 2차면접 - 처우협의,정규직,999,서울,종로,999,"머신러닝, 딥러닝, 프레임워크, 정형데이터, 비정형 데이터, 데이터 전처리, 백엔드 개발, RESTful API 개발","문제 정의, 협업 능력, 커뮤니케이션, 경력 2년","Python, Github, JIRA","AI, 데이터 파이프라인 구축, 데이터 가공, 데이터 처리, 데이터 분석, 클라우드 환경, 문서 활용","Agile한 조직 경험, 개발 경험, 프로젝트 경험,","Notion, GCP, Firebas, AWS",의료,999,51,999,중소기업,999,999,,"사람인 지원, 점핏에서 지원",2.5,2,3,3,2,2.5,50,50,0,"인원급성장
퇴사율 6~10%
51~300명
설립4~9년
커피
간식
자기계발
인공지능
재택근무
IT, 컨텐츠",15,19,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47857519&recommend_ids=eJxNjssVw0AIA6vJXaz4iHMKcf9dZO0XYx8HaQCvzl7CIcOnvi7YqsLRWCeWIhZjp3lhi6wcrO1m3Qi2m15uhsApy%2Bmt%2B1DtVsS5yi4Mkhv%2FbtCNFVPODCAflxL6Qesym1XKDvikLCzMzwl6xJMWu6SXu9s92It7cOIPf5xAbA%3D%3D&view_type=search&searchword=%ED%95%98%EC%9D%B4&searchType=search&gz=1&t_ref_content=generic&t_ref=search&relayNonce=8f66f74d78ac1d43fad5&paid_fl=n&search_uuid=2dd0a628-6e5c-4cd6-bbda-dcb06cc07bd2&immediately_apply_layer_open=n#seq=0
200,잡코리아,Data Scientist,세스코,Data Scientist ,데이터 사이언티스트,2024.04.19,0,5,12,대졸(4년),,이력서,서류전형  >  1차면접  >  2차면접  >  최종합격,정규직,"주5일 (월~금) 08:30~18:00
휴게시간 90분 포함",서울,강동,999,"데이터베이스, 모델링, 머신러닝, 프로그래밍 언어, 데이터 마이닝, 데이터 모델, CRM 시스템, 데이터마이닝","협업 능력, 데이터 전략 수립, 컴퓨터 관련 학위","Oracle, MS SQL, IBM DB2, XML, ERwin, Enterprise Architect, Visio, UML, ETL",999,"적극적, 책임감, 프로젝트 관리, 협업 능력, 커뮤니케이션, 긍정적, 보훈대상자",999,환경,1976,"3,694","4,676",중견기업,비상장,"3,847억 4,104만원",,즉시 지원,3,2.4,3.2,2.7,2.6,2.4,40,44,41,"연봉업계평균이상
인원급성장
퇴사율5%이하
1,001~10,000명
설립10년이상
석식제공
셔틀버스
기타 서비스업",586,764,https://www.jobkorea.co.kr/Recruit/GI_Read/44376545?Oem_Code=C1&logpath=1&stext=%EC%84%B8%EC%8A%A4%EC%BD%94%20DA&listno=1
201,잡코리아,Data Scientist,세스코,DA(데이터 분석 설계자),데이터 분석가,2024.04.19,0,5,12,대졸(4년),,이력서,서류전형  >  1차면접  >  2차면접  >  최종합격,정규직,"주5일 (월~금) 08:30~18:00
휴게시간 90분 포함",서울,강동,999,"데이터베이스, 모델링, 머신러닝, 프로그래밍 언어, 데이터 마이닝, 데이터 모델, CRM 시스템, 데이터마이닝","협업 능력, 데이터 전략 수립, 컴퓨터 관련 학위","Oracle, MS SQL, IBM DB2, XML, ERwin, Enterprise Architect, Visio, UML, ETL",999,"적극적, 책임감, 프로젝트 관리, 협업 능력, 커뮤니케이션, 긍정적, 보훈대상자",999,환경,1976,"3,694","4,676",중견기업,비상장,"3,847억 4,104만원",,즉시 지원,3,2.4,3.2,2.7,2.6,2.4,40,44,41,"연봉업계평균이상
인원급성장
퇴사율5%이하
1,001~10,000명
설립10년이상
석식제공
셔틀버스
기타 서비스업",586,764,https://www.jobkorea.co.kr/Recruit/GI_Read/44376545?Oem_Code=C1&logpath=1&stext=%EC%84%B8%EC%8A%A4%EC%BD%94%20DA&listno=1
202,잡코리아,Data Scientist,네이버웹툰(유),[경력] Data Scientist,데이터 사이언티스트,2024.04.20,0,3,999,학력 무관,,이력서,지원서 리뷰 ▶ 프리 인터뷰 ▶ 실무 인터뷰(*코딩 테스트 포함) ▶ Culture-Fit 인터뷰(*기업문화 적합도 검사 포함),정규직,주5일 (월~금) 10:00~19:00,경기,성남,재택 대면 혼합,"데이터 분석, 빅데이터 분석 플랫폼, 머신러닝, 딥러닝, ML 모델링, 데이터 정제, 데이터 가공, 프레임워크, 프로그래밍 언어","빠른 기술 적용, 연구 개발 경험, 경력 3년","Python, Pandas, Scikit-learn, PyTorch, Tensorflow, PySpark","세그멘테이션, 마케팅 성과 측정 모델링, 추천 모델링, 랭킹 모델링, 머신러닝, 딥러닝, 통계학, Casual Inference, MMM(Marketing Mix Modeling), SOTA 추천 모델","머신러닝 관련 트렌드 파악, 리서치 역량, 협업 능력, 마케팅 경험, 관련 전공",999,엔터테인먼트,2020,725,999,대기업,999,"5,488억 5,445만원",,홈페이지 지원,4.3,4.3,3.4,4.3,3.8,4.1,91,90,77,"인원급성장
301~1,000명
설립4~9년
IT, 컨텐츠",127,101,https://www.jobkorea.co.kr/Recruit/GI_Read/44279329?Oem_Code=C1&logpath=1&stext=%EB%84%A4%EC%9D%B4%EB%B2%84%EC%9B%B9%ED%88%B0&listno=1
203,잡코리아,Data Scientist,에이브랩스,데이터 분석 (Data Scientist),"데이터 분석가, 데이터 사이언티스트",999,1,0,999,학력 무관,,"이력서
포트폴리오, GItHub(선택)",서류체크 → 1차 면접(이력서 관련 질의응답 및 기술 인터뷰) → 2차 면접(임원진) → 채용,정규직,주5일 (월~금) 09:00~18:00 탄력근무제,서울,용산,999,"데이터 분석, 비즈니스 분석, 머신러닝, 딥러닝, 프로그래밍 언어, 모델링","논리적 사고, 분석적 사고, 가설 검증, 호기심, 인사이트 도출, 유연한 사고, 협업 능력","SQL, Python","머신러닝, 딥러닝, 모델링, 프로그래밍 언어","가설 수립, 인사이트 도출, 데이터 기반 의사결정, 유연한 사고, 토론 선호","SQL, Python",마케팅,2018,15,999,중소기업,999,11억 862만원,,즉시 지원,3.3,3.3,1.7,2,3.3,3,67,33,33,"IT, 컨텐츠",999,999,https://www.jobkorea.co.kr/Recruit/GI_Read/44160801?Oem_Code=C1&logpath=1&stext=%EC%97%90%EC%9D%B4%EB%B8%8C%EB%9E%A9%EC%8A%A4&listno=3
204,잡코리아,Data Scientist,마인드에이아이,Mind AI - Data Scientist,데이터 사이언티스트,2024.04.22,0,4,999,석사,,이력서,1. 입사지원서 검토 > 2. 기술 인터뷰 > 3. 회사 문화 적성 인터뷰 > 4. 입사 제안,정규직,주5일 (월~금) 10:00~19:00 탄력근무제,서울,중,999,"데이터 분석, 통계, 모델링, 머신러닝, 데이터 사이언스, 프로그래밍 언어, 알고리즘, 데이터 시각화","문제 해결, 비판적 사고, 커뮤니케이션, 데이터 과학, 컴퓨터 과학, 통계학 석사, 문제 해결 능력, 영어로 소통","Python, R",999,"스타트업 경험, 논문 보유, 관련 전공, 석사, 박사, 신기술 적용",999,시스템 소프트웨어 개발,2017,20,999,중소기업,비상장,1652만원,,즉시 지원,2.5,3.5,3,5,3.5,2,50,50,50,999,999,999,https://www.jobkorea.co.kr/Recruit/GI_Read/44065825?Oem_Code=C1&logpath=1&stext=%EB%A7%88%EC%9D%B8%EB%93%9C%EC%97%90%EC%9D%B4%EC%95%84%EC%9D%B4&listno=4
205,잡코리아,Data Scientist,홈플러스,홈플러스 데이터분석팀 - 데이터사이언티스트,데이터 사이언티스트,999,1,5,999,대졸(4년),,이력서,서류전형 > 1차면접 > 2차면접  > 최종합격,정규직,주5일 (월~금) 08:00~17:00,서울,강서,999,"데이터 컨설팅, 비즈니스 컨설팅, 통계, 데이터 시각화","프로젝트 관리, 문제해결 능력, 적극성, 결과 해석, 협업 능력, 커뮤니케이션, 문서화, 경력 5년","Excel, SQL, R, Python","유통, 제조, 물류, 예측 모델링, 머신러닝","관련 전공, 석사, 박사, 컨설팅 경험, 예측 모델 개발 경험",999,유통,1997,"20,000",999,대기업,비상장,999,,즉시 지원,999,999,999,999,999,999,999,999,999,999,999,999,999
206,사람인,Data Analyst,원프레딕트,Data Analyst,데이터 분석가,999,1,1,5,대졸(4년),,"이력서,포트폴리오",999,정규직,주5일 (월~금),서울,강남,999,"데이터 분석, 데이터 추출, 데이터 가공, 자동화","문제 정의, 가설 검증, 결과 해석, 인사이트 도출, 커뮤니케이션, 꼼꼼함, 정리 능력, 경력 1년","SQL, Python","산업 데이터, 제조 공정 데이터, 머신러닝, 딥러닝, 모델링, 데이터 분석, 데이터 시각화","관련 전공, 프로젝트 경험, 협업 능력, 커뮤니케이션","Power BI, Tableau",제조,2016,67,6130,중소기업,999,"24억 9,429만원",,"사람인 지원, 점핏에서 지원",2.9,3.3,3.6,3.3,2.8,2.5,37,48,28,"인원급성장
51~300명
설립4~9년
상여금
음료
커피
간식
사내카페
택시비
건강검진
동호회
IoT
연봉상위11~20%
IT, 컨텐츠",29,49,https://www.saramin.co.kr/zf_user/company-info/view?csn=alVVR0tWNERjcUpDYWtNdVlIc2oxZz09
207,사람인,Data Analyst,쓰리핸즈(3Handz),Security Data Analyst,데이터 분석가,2024.04.02,0,3,8,대졸(4년),,이력서,서류전형-1차면접-2차면접-최종합격,정규직,주5일 (월~금),서울,강남,999,"데이터 분석, 데이터 시각화",커뮤니케이션,Tableau,"대규모 온라인 게임, 게임 데이터 분석","포커에 대한 기본 지식, 영어로 소통",999,컨설팅,2022,4,999,중소기업,999,999,,사람인 지원,999,999,999,999,999,999,999,999,999,999,999,999,https://www.saramin.co.kr/zf_user/company-info/view?csn=ZEJDanU1SmNYcW0yd3dGcU9vd1Jkdz09
208,사람인,Data Analyst,슈어데이터랩,데이터 분석 및 모델 개발	,"데이터 분석가, 모델 개발",2024.06.02,0,1,999,대졸(4년),,이력서,서류전형-면접(개발자에 한해 필요 시 역량 평가 실시)-최종합격,정규직,주5일 (월~금),대전,유성,999,"컴퓨터 공학, 데이터 분석",없음,"Python, Linux","머신러닝, 데이터 분석",999,999,응용 소프트웨어 개발,2019,13,999,중소기업,999,"9억 3,834만원",,사람인 지원,4,2.7,4,3.3,2.7,3.3,67,100,33,999,999,999,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47919167&recommend_ids=eJxFj7kVA0EMQqtxji6QYhfi%2Frvw7No7E%2FI%2BIJFSpGV92uyldyImrfEZ%2BCXVsg4%2BVCE4LslbkobQQ4tk2%2BwsK1O%2BKH5VHcN4zOvO1bXN4ji1m5uLzskOWziS1YgtGZ1zKFm4n%2Fybqzz2QI0BHvvQRDfmUHjV2Utf8%2B%2BBX2ilQFc%3D&view_type=search&searchword=Data+Analyst&searchType=search&gz=1&t_ref_content=generic&t_ref=search&relayNonce=841ec9b0d372c72c10fc&paid_fl=n&search_uuid=f862eb2c-0d62-4ebe-b7cb-c1f69d4500d9&immediately_apply_layer_open=n#seq=0
209,링크드인,Data Analyst,센트비,Data Analyst,데이터 분석가,999,999,7,999,999,,"이력서, 포트폴리오",서류 전형 > 1차 인터뷰 전형 > 2차 인터뷰 전형 > 처우 협의 > 최종 합격,999,풀타임,서울,강남,999,"데이터 분석, App/Web 서비스 데이터, Funnel 분석, 코호트 분석, Retention, CLV","결과 해석, 인사이트 도출, 영어로 소통, 분석 방법론, 경력 4년","SQL, Python, Tableau, Redash","데이터 마트, 데이터 파이프라인 구축",회계 재무 지식,999,금융,2015,110,"5,331",스타트업,999,"27.1억원
",,링크드인 지원,2.9,2.9,3.1,3.3,2.8,2.6,43,57,36,"연봉 업계 평균 이상, 지속 성장중인 기업, 요즘 뜨는 산업 ,간식
 
 자기계발
 
 동호회
 
 핀테크
 
 연봉업계평균이상
 
 인원급성장
 
 51~300명
 
 설립4~9년
 
 금융",9,17,https://www.linkedin.com/jobs/search/?currentJobId=3879331284&distance=25&geoId=105149562&keywords=data%20analyst&origin=JOBS_HOME_KEYWORD_HISTORY&refresh=true#HYM
210,링크드인,Data Analyst,Viva Republica (Toss),Data Analyst,데이터 분석가,999,999,7,999,999,,"이력서
이력서는 이렇게 작성하시는 걸 추천해요

그동안 해오신 업무 중 임팩트 있었던 프로젝트를 구체적으로 적어주세요.
진행했던 프로젝트의 문제정의-가설설정-실험설계 및 검증-결과의 과정이 드러나면 좋아요.
데이터 분석으로 서비스 이용 유저에 대해 깊이 이해하고 이를 통해 액션을 제시하신 경험이 있다면 적어주세요.
모바일 서비스 데이터 분석 방법(LTV, AARRR, Cohort, Funnel 등)을 깊게 활용해봤는지 확인하고 있어요.
목표를 달성했다면 이탈률, 전환율, 매출액 등 지표의 개선을 수치로 나타내주면 좋아요. (외부 공개가 민감한 사항일 경우, 해당 부분은 제외하여 주세요.)",서류 접수 > 사전 쿼리 테스트 > 직무 인터뷰 > 문화적합성 인터뷰 > 레퍼런스 체크 > 처우 협의 > 최종 합격 및 입사,999,풀타임,서울,999,999,"데이터 추출, 데이터 정제, App/Web 서비스 데이터, Funnel 분석, 코호트 분석, Retention, CLV, A/B 테스트, 지표 설정, 데이터 시각화, 대시보드 구축","논리적 사고, 문제 정의, 가설 수립, 인사이트 도출","Tableau, SQL",999,999,999,금융,2013,924,"8,153",스타트업,999,"3,361억 7,217만원",,링크드인 지원,3.6,4.2,2.3,3.4,3.4,3.3,59,74,63,"연봉상위1%
누적투자100억이상
인원급성장
퇴사율 6~10%
301~1,000명
설립10년이상
성과급
상여금
커피
사내카페
단체보험
통신비
재택근무
IT, 컨텐츠",287,347,https://www.linkedin.com/jobs/search/?currentJobId=3227516831&distance=25&geoId=105149562&keywords=data%20analyst&origin=JOBS_HOME_KEYWORD_HISTORY&refresh=true
211,링크드인,Data Analyst,Viva Republica (Toss),Data Analyst,데이터 분석가,999,999,7,999,999,,"이력서
이력서는 이렇게 작성하시는 걸 추천해요

그동안 해오신 업무 중 임팩트 있었던 프로젝트를 구체적으로 적어주세요.
비즈니스 데이터 분석으로 사업에 대해 깊이 이해하고 이를 통해 액션을 제시하신 경험이 있다면 적어주세요.
목표를 달성했다면 이탈률, 수익률, 매출액 등 지표의 개선을 수치로 나타내주면 좋아요. (외부 공개가 민감한 사항일 경우, 해당 부분은 제외하여 주세요.)",서류 접수 > 사전 쿼리 테스트 > 직무 인터뷰 > 문화적합성 인터뷰 > 레퍼런스 체크 > 처우 협의 > 최종 합격 및 입사,999,풀타임,서울,999,999,"데이터 분석, 데이터 추출, 데이터 정제, 비즈니스 분석, 자동화, 데이터 시각화, 광고/ 커머스 지식","논리적 사고, 분석적 사고, 인사이트 도출, 커뮤니케이션","SQL, Tableau",999,999,999,금융,2013,924,"8,153",스타트업,999,"3,361억 7,217만원",,링크드인 지원,3.6,4.2,2.3,3.4,3.4,3.3,59,74,63,"연봉상위1%
누적투자100억이상
인원급성장
퇴사율 6~10%
301~1,000명
설립10년이상
성과급
상여금
커피
사내카페
단체보험
통신비
재택근무
IT, 컨텐츠",287,347,https://www.linkedin.com/jobs/search/?currentJobId=3815638263&distance=25&geoId=105149562&keywords=data%20analyst&origin=JOBS_HOME_KEYWORD_HISTORY&refresh=true
212,링크드인,Data Analyst,29CM,Data Analyst,데이터 분석가,999,999,7,999,999,,"이력서(필수), 포트폴리오(선택)
*포트폴리오 용량 초과 시 이력서에 링크로 첨부해주세요. (제출 전 접근권환 확인)",999,999,풀타임,서울,999,재택 대면 혼합,"데이터 분석, 데이터 추출, 데이터 가공,비즈니스 분석, 코호트 분석, A/B 테스트, 퍼널 분석, ","논리적 사고, 비판적 사고, 의사결정 능력, 분석 방법론, 인사이트 도출, 커뮤니케이션, 경력 5년","Amplitude, Tableau, GA4, SQL","A/B 테스트, 추천 알고리즘, 이커머스, 플랫폼, 클라우드 환경, 데이터 분석, 프로덕트 분석, 통계, 대시보드 구축","인과 추론, 이커머스 플랫폼에 대한 이해, 협업능력, 스타트업 경험, 그로스 해킹","GCP, BigQuery, Tableau",패션,2011,137,4111,중소기업,999,999,,링크드인 지원,3.1,2.8,3.4,3.1,2.7,2.8,59,68,44,"퇴사율5%이하
51~300명
설립10년이상
유연근무
자율복장
사내카페
사내식당
대출지원
건강검진
의료비
복지포인트
IT, 컨텐츠",999,999,https://www.linkedin.com/jobs/search/?currentJobId=3876184425&distance=25&geoId=105149562&keywords=data%20analyst&origin=JOBS_HOME_KEYWORD_HISTORY&refresh=true
213,링크드인,Data Analyst,Talent Disruptor,Data Analyst,데이터 분석가,999,999,0,0,999,,999,999,999,풀타임,서울,999,재택,"데이터 분석, 코호트 분석, Funnel 분석, A/B 테스트, 데이터 시각화, 예측 모델링, 머신러닝","논리적 사고, 분석적 사고, 협업 능력, 세밀함, 적극적, 예측적, 커뮤니케이션, 인사이트 도출, 통찰력, 정확성, 마케팅 전략 도출","Google Data Studio, BigQuery, Power BI, Amplitude, Tableau, GA4",999,999,999,채용,999,5,999,999,999,999,,링크드인 지원,999,999,999,999,999,999,999,999,999,999,999,999,https://www.linkedin.com/jobs/search/?currentJobId=3860725692&distance=25&geoId=105149562&keywords=data%20analyst&origin=JOBS_HOME_KEYWORD_HISTORY&refresh=true
214,링크드인,Data Analyst,캘러웨이 골프 코리아,Business Intelligence Analyst,BI 분석가,999,999,999,999,999,999,999,999,999,풀타임,서울,999,999,"데이터 분석, 레포트 작성, 대시보드 구축","영어로 소통, 경력 4년","SAP BI, SAP BO, Bex/A-office, SAP ERP(ECC, S/4HANA)",999," ITicket-Based 로 업무처리 능력, 문제 정의, 협력 능력, 커뮤니케이션",999,스포츠,999,166,6399,중소기업,999,"2,962억 1,954만원",,링크드인 지원,3.2,2.8,3.7,2.8,2.2,2.6,43,55,20,999,999,999,https://www.linkedin.com/jobs/search/?currentJobId=3863653065&distance=25&geoId=105149562&keywords=data%20analyst&origin=JOBS_HOME_KEYWORD_HISTORY&refresh=true
215,링크드인,Data Analyst,잡플래닛(브레인커머스),Business Data Analyst(Team Lead),비즈니스 데이터 분석가,999,1,10,999,"[우대] 관련 석사,박사","Data Science, Applied Science, Econometrics, Operational Research, Statistics",999,서류전형 > 1차 실무 인터뷰 > 2차 협업부서 인터뷰 > 3차 최종 인터뷰 > 최종합격(전형 절차는 상황에 따라 변동될 수 있습니다),999,풀타임,서울,999,999,"데이터 분석, 머신러닝, 딥러닝, Funnel 분석, 코호트 분석, Retention, AARRR, App/Web 서비스 데이터, 대시보드 구축, 사용자 행동 로그, CLV, A/B 테스트, 데이터 레이크, 데이터 마트, 데이터 웨어하우스, Data Quality Management, Data Governance, Data/Business Glossary, 모델링, 알고리즘, 프레임워크, 지표 설정, 개발 및 운영, 데이터 시각화","논리적 사고, 분석적 사고, 팀 리딩, 서비스 리딩, 인과 추론, 가설 검증, AI 활용 능력, 커뮤니케이션, 협업 능력, 방향성 제시, 서비스 개선, 리더십, 분석 방법론, 경력 10년","SQL, Python, Tableau, Looker Studio, Power BI","KPI Setting, 데이터 파이프라인 구축, 데이터 마트 구축, 클라우드 환경, GTM 이벤트 설계","조직 관리, 목표 및 전략 수립, 신사업 참여 경험, 협업 능력, 데이터 리터러시, 분석 환경 구축 경험","Amplitude, Braze, Appsflyer, PA, MMP Tool",채용,2013,130,5530,중소기업,999,"116억 8,361만원",,링크드인 지원,3.6,3.2,4,3.6,3.2,3.5,72,73,62,999,999,999,https://www.linkedin.com/jobs/search/?currentJobId=3885141048&distance=25&geoId=105149562&keywords=data%20analyst&origin=JOBS_HOME_KEYWORD_HISTORY&refresh=true
